,STN_NAME,STN_NO,Latitude,Longitude
109,NICOLL HIGHWAY MRT STATION,CC5,1.299766835,103.863637
110,CALDECOTT MRT STATION,CC17/TE9,1.337674508,103.8395298
111,MARINA BAY MRT STATION,NS27/TE20/CE2,1.276427355,103.8545978
112,LABRADOR PARK MRT STATION,CC27,1.272332732,103.8029396
113,CHINATOWN MRT STATION,NE4/DT19,1.284359578,103.8434268
114,TAN KAH KEE MRT STATION,DT8,1.325883209,103.8073222
115,TIONG BAHRU MRT STATION,EW17,1.286193393,103.8270194
116,HILLVIEW MRT STATION,DT3,1.362344869,103.7674183
117,KING ALBERT PARK MRT STATION,DT6,1.335665121,103.7838067
118,MATTAR MRT STATION,DT25,1.326876715,103.8832475
119,UBI MRT STATION,DT27,1.329956826,103.8992525
120,BEAUTY WORLD MRT STATION,DT5,1.341223176,103.7757943
121,KAKI BUKIT MRT STATION,DT28,1.334967302,103.9084597
122,BEDOK NORTH MRT STATION,DT29,1.334742117,103.9179783
123,DHOBY GHAUT MRT STATION,NS24/NE6/CC1,1.298701307,103.8461152
124,WOODLEIGH MRT STATION,NE11,1.339190046,103.8708183
125,NOVENA MRT STATION,NS20,1.320440791,103.8438256
126,SERANGOON MRT STATION,NE12/CC13,1.349707875,103.8735748
127,BEDOK RESERVOIR MRT STATION,DT30,1.33660783,103.9322346
128,MARINA SOUTH PIER MRT STATION,NS28,1.271336711,103.8628598
129,FARRER PARK MRT STATION,NE8,1.31235984,103.8541771
130,BARTLEY MRT STATION,CC12,1.342828338,103.8797589
131,DAKOTA MRT STATION,CC8,1.308382639,103.8886626
132,PASIR PANJANG MRT STATION,CC26,1.276213523,103.7913503
133,CLARKE QUAY MRT STATION,NE5,1.288386024,103.8465552
134,BISHAN MRT STATION,NS17/CC15,1.350838988,103.848144
135,MARYMOUNT MRT STATION,CC16,1.348707263,103.8394231
136,HAW PAR VILLA MRT STATION,CC25,1.282542157,103.7818105
137,LORONG CHUAN MRT STATION,CC14,1.351612171,103.8641519
138,LAVENDER MRT STATION,EW11,1.30735702,103.8628292
139,TAI SENG MRT STATION,CC11,1.335433322,103.8881949
140,ROCHOR MRT STATION,DT13,1.303916484,103.8524217
141,LITTLE INDIA MRT STATION,NE7/DT12,1.306800025,103.849647
142,STEVENS MRT STATION,DT10/TE11,1.320065557,103.8260244
143,BUKIT PANJANG MRT STATION,DT1,1.379002117,103.7615351
144,CASHEW MRT STATION,DT2,1.369369831,103.7646944
145,SIXTH AVENUE MRT STATION,DT7,1.330786387,103.7972463
146,TOA PAYOH MRT STATION,NS19,1.332628987,103.8475018
147,WOODLANDS SOUTH MRT STATION,TE3,1.427259979,103.7938509
148,POTONG PASIR MRT STATION,NE10,1.331379525,103.8690557
149,HOUGANG MRT STATION,NE14,1.371292292,103.8923805
150,BOON KENG MRT STATION,NE9,1.319395706,103.8616865
151,UPPER CHANGI MRT STATION,DT34,1.341737484,103.9614718
152,CHANGI AIRPORT MRT STATION,CG2,1.357314545,103.9883647
153,BRADDELL MRT STATION,NS18,1.340471684,103.8467978
154,BUANGKOK MRT STATION,NE15,1.382877858,103.8931216
155,PROMENADE MRT STATION,CC4/DT15,1.293218051,103.8609992
156,BOTANIC GARDENS MRT STATION,CC19/DT9,1.322110193,103.8149828
157,RAFFLES PLACE MRT STATION,EW14/NS26,1.284125611,103.8514617
158,HOLLAND VILLAGE MRT STATION,CC21,1.31183479,103.7961918
159,OUTRAM PARK MRT STATION,EW16/NE3/TE17,1.281404978,103.8391265
160,TELOK BLANGAH MRT STATION,CC28,1.270753211,103.8097486
161,TELOK AYER MRT STATION,DT18,1.282289536,103.8483028
162,NEWTON MRT STATION,NS21/DT11,1.3123201,103.8379853
163,CANBERRA MRT STATION,NS12,1.4431367,103.8297118
164,WOODLANDS NORTH MRT STATION,TE1,1.4482925,103.7856927
165,HUME MRT STATION,DT4,1.354517608,103.7690992
166,SPRINGLEAF MRT STATION,TE4,1.398160861,103.8180818
167,LENTOR MRT STATION,TE5,1.385061947,103.8364695
168,MAYFLOWER MRT STATION,TE6,1.372086639,103.8368239
169,BRIGHT HILL MRT STATION,TE7,1.363308098,103.832936
170,UPPER THOMSON MRT STATION,TE8,1.354411853,103.8329382
171,PUNGGOL COAST,NE18,1.4159707,103.908946
172,NAPIER MRT STATION,TE12,1.3069,103.8191
173,ORCHARD BOULEVARD MRT STATION,TE13,1.3024,103.8239
174,GREAT WORLD MRT STATION,TE15,1.295,103.8333
175,HAVELOCK MRT STATION,TE16,1.2877,103.8337
176,MAXWELL MRT STATION,TE18,1.2803,103.844
177,SHENTON WAY MRT STATION,TE19,1.2775,103.8507
178,MARINA SOUTH MRT STATION,TE21,1.2713,103.8629
179,GARDENS BY THE BAY MRT STATION,TE22,1.2783,103.868
180,TANJONG RHU MRT STATION,TE23,1.2973,103.8735
181,KATONG PARK MRT STATION,TE24,1.2978,103.8853
182,TANJONG KATONG MRT STATION,TE25,1.2992,103.8977
183,MARINE PARADE MRT STATION,TE26,1.3026,103.905
184,MARINE TERRACE MRT STATION,TE27,1.3067,103.9151
185,SIGLAP MRT STATION,TE28,1.3098,103.929
186,BAYSHORE MRT STATION,TE29,1.3147,103.9437
